subject,condition,trial,start_time,rt,correct,fact_id,question,answer,alpha
1,3,1,77973.56271,5428.631541,TRUE,0,somalia,mogadishu,0.3
1,3,2,112994.7265,3623.376833,FALSE,0,somalia,mogadishu,0.3
1,3,3,128965.1062,1881.372708,TRUE,1,djibouti,djibouti,0.3
1,3,4,135814.6671,892.04275,TRUE,1,djibouti,djibouti,0.3
1,3,5,144234.7469,1728.048167,TRUE,2,equatorial guinea,malabo,0.3
1,3,6,152085.3245,1491.146292,TRUE,3,cape verde,praia,0.3
1,3,7,156807.2972,1605.556417,FALSE,2,equatorial guinea,malabo,0.3
1,3,8,167521.2883,1123.535125,TRUE,3,cape verde,praia,0.3
1,3,9,172438.3967,1084.470292,FALSE,0,somalia,mogadishu,0.349609375
1,3,10,178137.5946,1773.116916,TRUE,4,niger,niamey,0.3
1,3,11,187623.2033,1232.157625,TRUE,1,djibouti,djibouti,0.250390625
1,3,12,192283.69,1696.64425,TRUE,4,niger,niamey,0.3
1,3,13,196024.3171,3353.855667,TRUE,5,cameroon,yaounde,0.3
1,3,14,201791.5063,1028.388458,TRUE,6,morocco,rabat,0.3
1,3,15,204559.9939,1063.240792,TRUE,5,cameroon,yaounde,0.3
1,3,16,208508.2691,885.007125,TRUE,6,morocco,rabat,0.3
1,3,17,211251.2339,2881.566792,TRUE,2,equatorial guinea,malabo,0.348828125
1,3,18,216269.3469,1071.032542,TRUE,0,somalia,mogadishu,0.34921875
1,3,19,221882.821,1250.111125,TRUE,3,cape verde,praia,0.250390625
1,3,20,224918.0201,1235.569458,TRUE,7,nigeria,abuja,0.3
1,3,21,229072.6275,8738.623416,TRUE,8,burkina faso,ouagadougou,0.3
1,3,22,244270.8913,21029.07958,TRUE,7,nigeria,abuja,0.3
1,3,23,267396.648,4329.288042,FALSE,8,burkina faso,ouagadougou,0.3
1,3,24,277937.9033,2425.079917,TRUE,4,niger,niamey,0.268359375
1,3,25,282045.6238,1022.861333,TRUE,5,cameroon,yaounde,0.250390625
