trial,start_time,rt,correct,fact_id,question,answer,alpha
1,173172.3014,10895.260899999994,True,0,st. helena,jamestown,0.3
2,201174.50060000003,2132.3922999999777,True,0,st. helena,jamestown,0.3
3,208578.97,21892.73370000001,True,1,ivory coast,yamoussoukro,0.3
4,275914.0753,3829.2735000000102,True,1,ivory coast,yamoussoukro,0.3
5,286213.9932,2005.2954999999492,True,0,st. helena,jamestown,0.250390625
6,293480.4831,47891.2438,True,2,uganda,kampala,0.3
7,356000.24480000004,2771.726999999897,True,1,ivory coast,yamoussoukro,0.300390625
8,363664.637,1419.3374000000185,True,2,uganda,kampala,0.3
9,370681.7744,40270.06290000008,True,3,swaziland,mbabane,0.3
10,445301.6395000001,3970.0053999999654,True,2,uganda,kampala,0.300390625
11,453949.4738000001,1254.485999999917,True,3,swaziland,mbabane,0.3
12,458482.4602,38179.90200000012,True,4,rwanda,kigali,0.3
13,503134.4695,2597.288100000005,False,1,ivory coast,yamoussoukro,0.30781250000000004
14,510333.6278,3154.2130999999936,True,4,rwanda,kigali,0.3
15,517616.493,1847.0376999999862,True,3,swaziland,mbabane,0.250390625
16,522700.3057000001,18775.208199999935,True,5,congo,brazzaville,0.3
17,553767.5863000001,36395.69649999996,True,6,central african republic,bangui,0.3
18,596352.4319000001,2443.0355999999447,True,5,congo,brazzaville,0.3
19,602318.5597,5112.830100000021,True,6,central african republic,bangui,0.3
20,610868.7982,1542.625800000038,True,4,rwanda,kigali,0.262109375
21,615451.5150000001,1680.2048999998951,True,2,uganda,kampala,0.25078125000000007
22,619752.1656000001,3955.5420999999624,True,7,south africa,cape town,0.3
23,631202.285,20245.22450000001,True,8,malawi,lilongwe,0.3
24,656953.5501999999,inf,True,7,south africa,cape town,0.3
25,669903.1107000001,9159.61910000001,False,8,malawi,lilongwe,0.3
26,682636.1361,6490.362900000066,True,5,congo,brazzaville,0.300390625
27,693202.6405,6808.928900000057,False,6,central african republic,bangui,0.32539062499999993
28,704036.1602,5703.403099999996,False,1,ivory coast,yamoussoukro,0.31132812500000007
29,721037.3377,5430.0642000000225,True,7,south africa,cape town,0.347265625
30,734587.4646,4535.779100000043,False,8,malawi,lilongwe,0.344140625
31,763987.1644,7796.34719999996,True,0,st. helena,jamestown,0.25078124999999996
32,775487.5451,1716.0909000000684,True,7,south africa,cape town,0.34609375
33,780720.9522,3282.73749999993,True,6,central african republic,bangui,0.3749999999999999
34,789321.6896,1889.7643999999855,True,8,malawi,lilongwe,0.3421875
35,798321.0184000001,10098.518500000006,False,9,sao tome and principe,sao tome,0.3
36,813488.3012999999,8963.07890000008,True,5,congo,brazzaville,0.35
37,827571.2887,2099.925099999993,True,9,sao tome and principe,sao tome,0.3
38,833488.2066,5339.243399999919,True,6,central african republic,bangui,0.37617187499999993
39,842205.0047,5994.742599999998,True,10,senegal,dakar,0.3
40,852188.9402000001,12730.637699999963,True,11,comoros,moroni,0.3
41,875138.7408,7721.013700000127,True,10,senegal,dakar,0.3
42,885122.2652,1208.8769999999786,True,11,comoros,moroni,0.3
43,890405.6100000001,2345.6512999999104,True,5,congo,brazzaville,0.337890625
44,897522.7315000001,1556.2589999999618,True,9,sao tome and principe,sao tome,0.250390625
45,903122.7370000001,6564.291199999978,True,7,south africa,cape town,0.39570312499999993
46,913939.8319000001,13555.810000000056,False,8,malawi,lilongwe,0.39179687499999993
47,928589.8885,3897.564400000032,True,6,central african republic,bangui,0.3789062499999999
48,936608.7541,1522.5685999998823,True,10,senegal,dakar,0.29960937499999996
49,941139.8292,1507.8523999999743,True,7,south africa,cape town,0.34609375
50,947057.2551000002,5314.1599999998,False,11,comoros,moroni,0.300390625
51,955240.2089999999,4634.996800000197,True,8,malawi,lilongwe,0.40234375
52,963573.8788,5105.632199999993,True,4,rwanda,kigali,0.26640624999999996
53,971707.4047,2003.9521000001114,True,1,ivory coast,yamoussoukro,0.30781250000000004
54,979106.9630000001,3336.6656000000658,False,3,swaziland,mbabane,0.25078124999999996
55,985790.6148000001,5952.5099999997765,True,12,egypt,cairo,0.3
56,995757.3427,1934.06110000005,True,13,morocco,rabat,0.3
57,1004574.3151,1328.9792000000598,True,12,egypt,cairo,0.3
58,1008274.331,2005.4182000000728,True,13,morocco,rabat,0.3
59,1012841.2202999999,27153.87730000005,True,14,mali,bamako,0.3
60,1045058.5076,2032.4734999998473,True,8,malawi,lilongwe,0.401953125
61,1054626.307,2089.3917999998666,True,14,mali,bamako,0.3
62,1059108.7430999998,3210.686900000088,True,6,central african republic,bangui,0.4160156249999999
63,1065525.5489999999,1266.2046999998856,True,12,egypt,cairo,0.250390625
64,1069324.9878,1202.5390999999363,True,13,morocco,rabat,0.250390625
65,1073075.0902,2688.1148000000976,True,5,congo,brazzaville,0.35
66,1079326.8014,2664.784500000067,True,10,senegal,dakar,0.31171874999999993
67,1084591.9323999998,5823.468399999896,False,11,comoros,moroni,0.35
68,1092975.112,18696.2322999998,True,15,lesotho,maseru,0.3
69,1115292.2173,1667.2271000000183,False,6,central african republic,bangui,0.45937499999999987
70,1120461.0293999999,1753.9947000001557,True,15,lesotho,maseru,0.3
71,1124842.5155,15340.464399999939,False,14,mali,bamako,0.300390625
72,1141259.3299,8215.867299999809,True,6,central african republic,bangui,0.46523437499999987
73,1152477.0381999998,2758.5475000001024,True,8,malawi,lilongwe,0.41640625
