trial,start_time,rt,correct,fact_id,question,answer,alpha
1,5834.359708009288,1274.4568749913014,False,0,albania,tirana,0.3
2,10394.87425002153,694.7183749871328,False,0,albania,tirana,0.3
3,14613.970792008331,916.1233750055544,True,1,andorra,andorra la vella,0.3
4,22841.349374997662,1123.0343750212342,True,1,andorra,andorra la vella,0.3
5,26704.33704199968,969.008665997535,True,2,armenia,yerevan,0.3
6,29118.23095800355,919.2238340037875,False,3,austria,vienna,0.3
7,33397.07216701936,inf,True,2,armenia,yerevan,0.3
8,39656.08662500745,997.9851669922937,True,3,austria,vienna,0.3
9,42785.828000021866,951.4631249767262,True,4,belarus,minsk,0.3
10,46575.1713750069,1572.03725000727,True,5,belgium,brussels,0.3
11,52116.699708014494,898.3274170022923,True,4,belarus,minsk,0.3
12,55683.81333301659,6316.63162499899,True,5,belgium,brussels,0.3

