trial,start_time,rt,correct,fact_id,question,answer,alpha
1,24941.10659999933,3392.6124000026903,6.0,0,mali,bamako,0.3
2,31512.867199999164,1060.6069000023126,6.0,0,mali,bamako,0.3
3,35386.34330000059,2507.2596999998495,8.0,1,seychelles,victoria,0.3
4,40976.1311000002,653.809800001909,8.0,1,seychelles,victoria,0.3
5,44574.10200000231,2150.117899996985,6.0,2,eritrea,asmara,0.3
6,49137.55180000226,2913.8754999985395,5.0,3,ghana,accra,0.3
7,54797.59829999966,2207.1897000023455,4.0,2,eritrea,asmara,0.3
8,59767.70110000143,1308.014700000058,5.0,3,ghana,accra,0.3
9,63202.29680000193,1847.9253999976208,6.0,4,zambia,lusaka,0.3
10,69362.78959999981,5794.40600000089,10.0,5,mauritania,nouakchott,0.3
11,84211.47650000057,6673.4303000012005,5.0,4,zambia,lusaka,0.3
12,93471.23040000224,1500.481099999888,6.0,5,mauritania,nouakchott,0.3
13,103767.22729999892,6083.697400001256,4.0,0,mali,bamako,0.349609375
14,111600.74560000066,2927.2072999992815,8.0,1,seychelles,victoria,0.32304687499999996
15,117740.8271000022,1740.7176999986405,6.0,2,eritrea,asmara,0.250390625
16,128229.90260000006,1553.7552000023425,5.0,3,ghana,accra,0.250390625
17,131606.6494000006,6811.507800000982,6.0,6,central african republic,bangui,0.3
18,140485.6323999993,2179.3967000012344,6.0,4,zambia,lusaka,0.275390625
19,145282.8487000006,inf,6.0,6,central african republic,bangui,0.3
20,153322.82169999962,6411.35000000213,4.0,0,mali,bamako,0.3890625
21,161527.99230000164,3721.010400000523,8.0,5,mauritania,nouakchott,0.349609375
22,183052.80420000054,3100.5941000003077,8.0,1,seychelles,victoria,0.32343749999999993
23,188482.58070000156,16150.560499998392,6.0,0,mali,bamako,0.43867187499999993
24,207480.12329999983,1205.4269000000204,6.0,6,central african republic,bangui,0.250390625
25,211952.25410000057,3105.4140999985975,7.0,5,mauritania,nouakchott,0.39609375
26,248038.19990000193,4723.573999999644,6.0,0,mali,bamako,0.44921875
27,260385.79720000052,1096.2601999999606,10.0,5,mauritania,nouakchott,0.39570312500000004
28,272142.5725000008,1713.2210999989184,6.0,0,mali,bamako,0.448828125
29,277425.7934000016,8572.086699998123,0.0,7,sierre leone,freetown,0.3
30,287074.80120000034,3916.6757999992697,5.0,8,nigeria,abuja,0.3
31,296280.4498000005,1264.0720000017318,8.0,7,sierre leone,freetown,0.3
32,300510.60610000056,4270.8654000016395,5.0,8,nigeria,abuja,0.3
33,307203.35550000163,1012.9416999989189,8.0,1,seychelles,victoria,0.32304687499999996
34,310468.0090000002,5325.490499999374,9.0,9,st. helena,jamestown,0.3
35,318603.83999999973,8923.28289999935,0.0,10,angola,luanda,0.3
36,328602.5160999998,1511.2128000000957,9.0,9,st. helena,jamestown,0.3
37,334150.76930000214,4729.321799997706,6.0,10,angola,luanda,0.3
38,341626.35710000177,929.5672999978997,6.0,0,mali,bamako,0.44843750000000004
39,344576.4741000021,1882.1438999985112,10.0,5,mauritania,nouakchott,0.3460937500000001
40,349690.06770000124,1097.4906000010087,8.0,7,sierre leone,freetown,0.250390625
41,354578.27000000176,8656.909699999262,5.0,8,nigeria,abuja,0.349609375
42,365364.2408000014,14880.055300000124,4.0,4,zambia,lusaka,0.32499999999999996
43,384374.6562000015,7243.332699999912,9.0,9,st. helena,jamestown,0.349609375
44,394052.2176000013,7262.86959999922,6.0,10,angola,luanda,0.349609375
45,403698.94530000235,11800.538699997589,5.0,8,nigeria,abuja,0.39921874999999996
46,417196.9632,1087.2089000004344,6.0,0,mali,bamako,0.3988281250000001
47,420238.6736000008,2432.620499999728,8.0,11,djibouti,djibouti,0.3
48,425699.42559999984,16881.836000000476,11.0,12,madagascar,antananarivo,0.3
49,453062.6856000017,4326.501399998961,8.0,11,djibouti,djibouti,0.3
50,461798.9688000016,2022.523600000597,12.0,12,madagascar,antananarivo,0.3
51,469764.21309999935,1649.798800000979,5.0,8,nigeria,abuja,0.398828125
52,473233.7342999999,825.5487000024295,9.0,9,st. helena,jamestown,0.30000000000000004
53,476694.20900000114,3024.0250999995624,6.0,10,angola,luanda,0.39921874999999996
54,482176.1131999992,1696.9487000023946,6.0,4,zambia,lusaka,0.324609375
55,494539.30319999927,inf,2.0,2,eritrea,asmara,0.29999999999999993
56,533546.8158000003,8096.543999999994,6.0,10,angola,luanda,0.412109375
57,543474.1078000006,2008.545000000624,8.0,11,djibouti,djibouti,0.250390625
58,547763.8432000021,3029.2377999976743,12.0,12,madagascar,antananarivo,0.324609375
59,556318.4985000007,5328.319199998165,5.0,8,nigeria,abuja,0.44843749999999993
60,564453.8436000003,960.374199999962,8.0,1,seychelles,victoria,0.2734375
61,567649.9936,1179.079100002069,5.0,3,ghana,accra,0.20078125
62,570608.675800002,2332.9327999999514,0.0,6,central african republic,bangui,0.29999999999999993
63,575218.6789000006,8320.894699998433,5.0,8,nigeria,abuja,0.45976562499999996
64,585416.3421000012,inf,6.0,10,angola,luanda,0.43671875000000004
65,592344.7632999996,1590.817500000354,6.0,2,eritrea,asmara,0.27460937499999993
66,595779.5031000023,3741.9971999989357,10.0,5,mauritania,nouakchott,0.39570312500000004
67,602828.1343999988,7482.078400000348,9.0,13,burundi,bujumbura,0.3
68,623048.7461000012,2654.3319999981904,5.0,8,nigeria,abuja,0.46562499999999996
69,627684.1616999991,1697.4150000023656,9.0,13,burundi,bujumbura,0.3
70,632850.0124999991,1215.676900002989,6.0,10,angola,luanda,0.41132812500000004
71,636727.8612000009,1806.2165000010282,12.0,12,madagascar,antananarivo,0.275
72,643412.3813000006,1604.0761000002967,10.0,5,mauritania,nouakchott,0.3460937500000001
73,648512.0447000009,4431.9305999997305,6.0,0,mali,bamako,0.39921875000000007
74,655058.9973000024,2977.7844999990193,6.0,4,zambia,lusaka,0.34921875
75,660273.9488000006,2342.8314999983413,5.0,14,cape verde,praia,0.3
76,671722.0945000008,1993.5417999986093,5.0,8,nigeria,abuja,0.465234375
77,675584.3903999995,2631.90990000288,5.0,14,cape verde,praia,0.3
78,679866.6688000013,2172.355300000985,6.0,6,central african republic,bangui,0.29960937499999996
79,683988.3526000013,1252.9685999979265,9.0,13,burundi,bujumbura,0.250390625
80,688131.2491999997,2244.7190999991726,7.0,15,kenya,nairobi,0.3
81,693556.1054999998,7407.7495000020135,9.0,16,somalia,mogadishu,0.3
82,714682.154000002,3002.119599997881,7.0,15,kenya,nairobi,0.3
83,720026.4312,1613.3578000008129,9.0,16,somalia,mogadishu,0.3
84,724590.299399999,1273.1794000028167,8.0,7,sierre leone,freetown,0.20078125
85,729528.859099999,1550.7256000018679,5.0,8,nigeria,abuja,0.46484375
86,733319.0080000022,998.4970999975922,5.0,14,cape verde,praia,0.250390625
87,736025.2841000002,930.2289000005694,9.0,9,st. helena,jamestown,0.2503906250000001
88,739260.2752000021,2736.1740999985486,6.0,10,angola,luanda,0.4296875000000001
89,743916.5627000002,5294.964600001578,5.0,17,senegal,dakar,0.3
90,756533.0241000011,37742.78779999807,12.0,18,ivory coast,yamoussoukro,0.3
91,800827.5439999998,3348.6560999990907,5.0,17,senegal,dakar,0.3
92,805828.4497999994,1839.2305000015767,12.0,18,ivory coast,yamoussoukro,0.3
93,811426.8746000016,inf,7.0,15,kenya,nairobi,0.349609375
94,817604.6979000021,4231.8013999974355,9.0,16,somalia,mogadishu,0.349609375
95,825687.7488999999,3077.079099999508,5.0,8,nigeria,abuja,0.470703125
96,830942.3705000009,3059.7047000009334,6.0,4,zambia,lusaka,0.35429687499999996
97,836535.1779000012,inf,6.0,10,angola,luanda,0.46757812500000007
98,840832.9773000005,1844.0214000002015,6.0,0,mali,bamako,0.3496093750000001
99,844882.1199000012,21815.67949999962,6.0,19,mozambique,maputo,0.3
100,871914.9641000003,1386.3803999993252,7.0,15,kenya,nairobi,0.30390625000000004
101,875903.7613,3628.6428999992786,6.0,19,mozambique,maputo,0.3
102,883039.4766999998,1185.1927999996115,6.0,10,angola,luanda,0.43125000000000013
103,885958.0748000008,2003.603599998285,9.0,16,somalia,mogadishu,0.30000000000000004
104,890598.1763000018,1657.3938999972306,4.0,17,senegal,dakar,0.27460937500000004
105,893971.3491000002,2160.9375000006985,12.0,18,ivory coast,yamoussoukro,0.250390625
106,900953.625099999,2108.6194000018295,5.0,8,nigeria,abuja,0.42734375
107,905313.5771000015,18499.160999999847,6.0,20,equatorial guinea,malabo,0.3
108,926097.5891000016,23421.83440000005,6.0,21,zimbabwe,harare,0.3
109,951583.3488999996,4395.971500001964,6.0,20,equatorial guinea,malabo,0.3
110,959412.1341999999,2961.5672000000486,6.0,21,zimbabwe,harare,0.3
111,964921.3273000023,2681.0307999985525,6.0,19,mozambique,maputo,0.297265625
112,971899.1257000016,3204.4375000004657,6.0,6,central african republic,bangui,0.32343749999999993
113,977516.0490000016,1151.4079999979585,8.0,11,djibouti,djibouti,0.22343749999999998
114,981651.0508999999,5963.464799999259,6.0,4,zambia,lusaka,0.35546875
115,989975.4060000014,30136.15840000054,6.0,22,lesotho,maseru,0.3
116,1023262.5322999993,1554.5335000024643,6.0,20,equatorial guinea,malabo,0.29960937499999996
117,1028530.4920999988,1031.0810000010533,6.0,22,lesotho,maseru,0.3
118,1032319.8661000024,1733.8832999994047,6.0,21,zimbabwe,harare,0.271484375
119,1036503.8222000003,1567.882600000361,6.0,10,angola,luanda,0.3816406250000002
120,1040308.2313000014,2395.910499999416,10.0,5,mauritania,nouakchott,0.33320312500000004
121,1045471.7679999995,1882.2751000006683,9.0,23,south africa,cape town,0.3
122,1050392.3113000018,4687.486200000392,6.0,24,niger,niamey,0.3
123,1066821.7264000014,1530.9057999984361,9.0,23,south africa,cape town,0.3
124,1070600.5265999993,569.7438999996521,5.0,24,niger,niamey,0.3
125,1073526.156,1606.2779000021983,9.0,13,burundi,bujumbura,0.20078125
126,1077709.3406999994,2091.961100002518,5.0,14,cape verde,praia,0.21562499999999998
127,1081657.4335000005,1215.5181000016164,6.0,22,lesotho,maseru,0.250390625
128,1085784.103099999,3006.478000002913,12.0,12,madagascar,antananarivo,0.29960937500000007
129,1095352.7983000022,2500.7890999985393,6.0,19,mozambique,maputo,0.29999999999999993
130,1101115.207499999,2799.570800001733,8.0,25,namibia,windhoek,0.3
131,1111521.3884000005,3519.1835000005085,5.0,8,nigeria,abuja,0.427734375
132,1117108.503200001,2794.320699998876,8.0,25,namibia,windhoek,0.3
133,1123566.8704000018,4008.8011999977753,9.0,23,south africa,cape town,0.349609375
134,1130131.9409999996,2144.640900001861,6.0,24,niger,niamey,0.262109375
135,1134570.0878999997,2406.880400001537,7.0,15,kenya,nairobi,0.29804687500000004
136,1141956.7391000018,21940.178400000324,6.0,6,central african republic,bangui,0.3238281249999999
137,1166328.1785,3747.4863000025507,5.0,17,senegal,dakar,0.27656250000000004
138,1171735.4922000014,1918.6515000001527,6.0,20,equatorial guinea,malabo,0.24999999999999997
139,1176533.9574999998,1970.7560999996495,9.0,23,south africa,cape town,0.30000000000000004
140,1181136.063500002,3410.8749999976717,8.0,25,namibia,windhoek,0.349609375
141,1186937.6193999997,4270.371599999489,9.0,16,somalia,mogadishu,0.349609375
142,1194211.6870999997,5857.784200001508,6.0,2,eritrea,asmara,0.3179687499999999
143,1202045.674699999,1678.6406000028364,6.0,4,zambia,lusaka,0.355078125
144,1206260.9844,3940.6765999991912,5.0,26,morocco,rabat,0.3
145,1218165.978600002,27308.580999997444,8.0,27,botswana,gaborone,0.3

